,CountryCode,Value
0,ARB,3.46931760213016
1,CSS,0.929060270260834
2,CEB,3.13942097603162
3,EAS,4.00510552396315
4,EAP,8.456189203013691
5,EMU,1.63105893153714
6,ECS,2.19822499336988
7,ECA,6.548686246194889
8,EUU,1.78821607958541
9,FCS,-9.37136101059004
10,HPC,4.61016741883866
11,HIC,1.91478430167471
12,NOC,5.62767785410368
13,OEC,1.5752150166271397
14,LCN,4.5343122712905
15,LAC,4.29091596216587
16,LDC,4.14334941728447
17,LMY,6.07083519372998
18,LIC,6.479959856464419
19,LMC,5.46970943455176
20,MEA,3.75530382838446
21,MNA,-1.5648454686968898
22,MIC,6.06437553830655
23,NAC,1.71329438437668
24,OED,1.73744231953177
25,OSS,4.81113851187303
26,PSS,0.635539903006048
27,SST,3.02155179945427
28,SAS,6.31395060654197
29,SSF,4.21145098110264
30,SSA,4.23461300196726
31,UMC,6.258866108838481
32,WLD,2.8474355560846
33,AFG,6.11368516942299
34,ALB,2.55000000000003
35,DZA,2.8000182516527303
36,ADO,-4.80267503725287
37,ATG,-1.79343560355176
38,ARG,8.38645145563733
39,ARM,4.69999999861844
40,AUS,2.37956133560841
41,AUT,2.8079999321176703
42,AZE,0.0659227678492726
43,BHS,0.612902595753823
44,BHR,2.10018410872759
45,BGD,6.464383880475169
46,BRB,0.728597449908918
47,BLR,5.543711460995481
48,BEL,1.7968378886938
49,BLZ,2.10395080383485
50,BEN,2.96275035081007
51,BMU,-3.3394944102056496
52,BTN,7.89091389329108
53,BOL,5.20409271802829
54,BIH,0.9577633358794491
55,BWA,6.04831636706808
56,BRA,3.91638218841443
57,BRN,3.42981847698816
58,BGR,1.57999999999998
59,BFA,6.52176944827904
60,BDI,4.19162568095399
61,CPV,3.9687838117820298
62,KHM,7.0695699458918
63,CMR,4.14059184658242
64,CAN,2.9601024743844104
65,CAF,3.30073970667341
66,TCD,0.0828697984381961
67,CHL,5.83964058455817
68,CHN,9.484506201521901
69,COL,6.589511515571151
70,COM,2.60000008817858
71,ZAR,6.86463002728854
72,COG,3.4206212698529903
73,CRI,4.517746473806
74,CIV,-4.38725478860674
75,HRV,-0.281262662136228
76,CUB,2.80296433563252
77,CYP,0.261283104557293
78,CZE,1.96661263222273
79,DNK,1.15214252475052
80,DJI,4.4675145260249405
