,0
769,0.15770872446989811
64,0.036299208702579515
1265,0.03022270103030185
1188,0.02870825709212051
1205,0.02829788034047669
90,0.022067451266883243
375,0.015489462754376267
764,0.015406850238101354
1217,0.014223358688618107
366,0.0138714139646004
712,0.01361024939083041
757,0.01326806344291705
768,0.013102067645278615
756,0.011681674369321634
777,0.01082758837235247
949,0.010548821690634943
343,0.008636467374138396
1290,0.007622909806718537
621,0.007545599527051007
775,0.007261306799507068
650,0.006778254492840578
753,0.006278387354445532
695,0.006266906489950797
778,0.005855816618574451
1190,0.005507915513082587
776,0.005501159694637305
702,0.0054470421793658364
71,0.005419630482552811
4,0.005041934192295979
181,0.004887766364462995
706,0.00487709529843421
767,0.004821814267026263
666,0.004422220892826117
1293,0.004186882992358547
1274,0.004101480890193304
377,0.0040726796164828995
1231,0.0040489847395370065
723,0.004019401287437787
727,0.004009823305338379
373,0.003825774104283328
6,0.0036664527429468964
942,0.0036558854652937824
700,0.0035221529554657965
401,0.0034170132807446922
924,0.0033474782502686943
770,0.003338604036479683
685,0.0032593882829025076
19,0.0032111207860700845
847,0.0031591630913099084
726,0.003142818812217091
